SCIENTIFIC_NAME,N,COMMON_NAME
Neochmia modesta,4,Plum-headed Finch
Pachycephala olivacea,4,Olive Whistler
Dromaius novaehollandiae,3,Emu
Gerygone fusca,3,Western Gerygone
Gygis alba,3,White Tern
Onychoprion fuscatus,3,Sooty Tern
Psittacula krameri,3,Rose-ringed Parakeet
Rostratula australis,3,Australian Painted-Snipe
Anous stolidus,2,Brown Noddy
Falco subniger,2,Black Falcon
Lophochroa leadbeateri,2,Pink Cockatoo
Melanodryas cucullata,2,Hooded Robin
Numida meleagris,2,Helmeted Guineafowl
Todiramphus pyrrhopygius,2,Red-backed Kingfisher
Tringa glareola,2,Wood Sandpiper
Aphelocephala leucopsis,1,Southern Whiteface
Artamus cinereus,1,Black-faced Woodswallow
Botaurus poiciloptilus,1,Australasian Bittern
Branta canadensis,1,Canada Goose
Cairina moschata,1,Muscovy Duck
Calidris pugnax,1,Ruff
Calidris subminuta,1,Long-toed Stint
Chlidonias leucopterus,1,White-winged Tern
Geopelia cuneata,1,Diamond Dove
Limosa limosa,1,Black-tailed Godwit
Malurus assimilis,1,Purple-backed Fairywren
Numenius minutus,1,Little Curlew
Pomatostomus superciliosus,1,White-browed Babbler
Synoicus chinensis,1,Blue-breasted Quail
Todiramphus macleayii,1,Forest Kingfisher
Xenus cinereus,1,Terek Sandpiper
